Neighborhood,avg household size,med age females,med age males,pct families with children,pct married couple,pct never married females > 15,pct never married males > 15,pct single mother,med household income,med rent,pct units mortgage,Park,Pool,Trail,Pizza Place,Convenience Store
"Brookdale, Raleigh, NC",2.6,35.9,36.5,33.6,58.2,15.8,9.2,5.1,95333.0,1383.0,85.0,0.0,0.0,0.0,0.0,0.0
"Brookdale, Raleigh, NC",2.6,35.9,36.5,33.6,58.2,15.8,9.2,5.1,95333.0,1383.0,85.0,0.0,0.0,0.0,0.0,0.0
"Brookhaven, Raleigh, NC",1.9,36.8,38.2,34.5,40.5,15.0,10.1,13.2,53136.0,843.0,69.9,0.0,0.0,0.5,0.0,0.0
"Brooklyn (Glenwood), Raleigh, NC",5.5,35.7,37.6,40.0,21.2,23.4,26.8,2.6,56745.0,864.0,85.8,0.022727272727272728,0.0,0.0,0.022727272727272728,0.0
"Brooklyn Hill, Raleigh, NC",1.6,33.2,38.0,39.3,21.6,23.9,27.1,2.5,60882.0,871.0,85.7,0.022727272727272728,0.0,0.0,0.022727272727272728,0.0
"Brookshire, Raleigh, NC",2.2,37.9,42.5,30.8,44.0,19.7,15.9,13.2,60913.0,976.0,72.0,0.5,0.0,0.0,0.0,0.0
"Brookside Dr, Raleigh, NC",2.5,40.5,39.8,18.6,32.0,8.4,18.4,12.4,50081.0,745.0,80.4,0.0,0.0,0.0,0.0,0.0
"Brookview, Raleigh, NC",2.5,40.5,39.8,18.6,32.0,8.4,18.4,12.4,50081.0,745.0,80.4,0.3333333333333333,0.0,0.0,0.3333333333333333,0.16666666666666666
"Bryn Mawr, Raleigh, NC",2.8,32.1,28.8,23.0,52.3,14.1,23.6,8.7,72538.0,777.0,75.5,0.0,0.5,0.0,0.0,0.0
"Budleigh, Raleigh, NC",2.6,44.3,42.4,34.7,68.7,7.2,9.6,1.3,142379.0,1762.0,66.5,0.0,0.0,0.0,0.0,0.0
"Calender, Raleigh, NC",2.5,37.5,32.9,45.1,60.8,8.8,17.3,22.4,74803.0,928.0,90.6,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111
"Cambridge, Raleigh, NC",2.4,40.1,45.4,21.9,52.7,19.8,6.4,11.1,78250.0,846.0,81.6,1.0,0.0,0.0,0.0,0.0
"Cambridge, Raleigh, NC",2.4,40.1,45.4,21.9,52.7,19.8,6.4,11.1,78250.0,846.0,81.6,1.0,0.0,0.0,0.0,0.0
